"unitid","institution_name","percent_of_undergraduate_students_awarded_federal_state_local_institutional_or_other_sources_of_grant_aid","average_amount_of_federal_state_local_institutional_or_other_sources_of_grant_aid_awarded_to_undergraduate_students","percent_of_undergraduate_students_awarded_pell_grants","average_amount_pell_grant_aid_awarded_to_undergraduate_students","percent_of_undergraduate_students_awarded_federal_student_loans","average_amount_of_federal_student_loans_awarded_to_undergraduate_students","average_net_price_students_awarded_grant_or_scholarship_aid","average_net_price_income_0_30_000_students_awarded_title_iv_federal_financial_aid","average_net_price_income_over_110_000_students_awarded_title_iv_federal_financial_aid","published_in_state_tuition_and_fees","published_out_of_state_tuition_and_fees","off_campus_not_with_family_room_and_board","on_campus_room_and_board","total_price_for_in_state_students_living_on_campus","total_price_for_out_of_state_students_living_on_campus","total_price_for_in_state_students_living_off_campus_not_with_family","total_price_for_out_of_state_students_living_off_campus_not_with_family","gradrate_ba_6yrs_total","gradrate_ba_6yrs_men","gradrate_ba_6yrs_women","gradrate_ba_6yrs_black_non_hispanic","gradrate_ba_6yrs_hispanic","gradrate_ba_6yrs_white_non_hispanic","pell_grant_recipients_overall_graduation_rate_within_150_percent_of_normal_time","subsidized_stafford_loan_recipients_not_receiving_pell_grants_overall_graduation_rate_within_150_percent_of_normal_time","did_not_receive_pell_grants_or_subsidized_stafford_loans_overall_graduation_rate_within_150_percent_of_normal_time","historically_black_college_or_university","sector_of_institution","institutional_category","degree_of_urbanization_urban_centric_locale","carnegie_classification_2018_size_and_setting","full_time_retention_rate","part_time_retention_rate","undergraduate_enrollment","percent_of_undergraduate_enrollment_that_are_black_or_african_american","percent_of_undergraduate_enrollment_that_are_hispanic/latino","percent_of_undergraduate_enrollment_that_are_white","percent_of_undergraduate_enrollment_that_are_women","endowment_assets_year_end_per_fte_enrollment","number_of_branches_and_independent_libraries","all_programs_offered_completely_via_distance_education","percent_of_undergraduate_students_enrolled_exclusively_in_distance_education_courses","endowment_total","finances_spent_research","finances_spent_student_services","finances_spent_public_service","finances_spent_academic_support","finances_spent_instruction","revenue_total"
220978,"Middle Tennessee State University",77,8064,38,4656,45,6339,11964,8919,17446,8858,27098,8698,8698,22964,41204,22964,41204,44,40,48,41,42,46,39,42,52,"No","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, large, primarily nonresidential",76,63,19252,19,6,64,54,5774,3,"No",5,103146289,9105504,49344293,10967580,38576400,187881760,403233596
230959,"Middlebury College",46,48807,16,4696,23,5287,NA,NA,NA,54450,54450,NA,15530,71980,71980,NA,NA,91,90,92,84,95,91,89,90,92,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Distant","Four-year, small, highly residential",96,NA,2564,4,10,62,53,NA,2,"No",0,1124144000,10041000,41701000,0,33294000,98735000,297902000
181330,"Midland University",73,20136,27,4608,57,6747,NA,NA,NA,32598,32598,7055,8600,44278,44278,44278,44278,44,38,52,13,26,52,34,54,48,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Distant","Four-year, small, highly residential",60,NA,1721,5,10,38,52,NA,0,"No",1,18788848,0,8929392,0,450025,7896170,29638826
157377,"Midway University",84,13262,46,4496,70,6727,NA,NA,NA,24750,24750,8480,8480,41430,41430,41430,41430,37,0,39,40,67,38,35,59,21,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Rural: Distant","Four-year, small, primarily residential",74,56,1456,5,6,55,70,NA,0,"No",33,29428240,0,4539140,0,1087297,6017342,21143712
178208,"Midwestern Baptist Theological Seminary",45,4906,35,5509,35,7382,NA,NA,NA,7920,7920,9864,7500,20256,20256,24771,24771,20,25,0,NA,NA,20,20,NA,7,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, small, primarily residential",63,11,592,7,5,76,26,NA,0,"No",41,5897600,0,1544998,0,3926671,4246348,24556738
226833,"Midwestern State University",76,8922,40,4684,48,6950,9799,7703,16425,9233,11183,8877,8877,21069,23019,21069,23019,42,32,50,32,44,44,38,39,47,"No","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, medium, primarily residential",65,60,5372,15,20,48,60,4911,0,"No",16,22003421,1375279,17567129,1422123,12838252,49252202,123730162
101675,"Miles College",95,7694,86,5393,91,7224,NA,NA,NA,12132,12132,10845,7254,22418,22418,26169,26169,24,21,29,24,0,30,24,23,30,"Yes","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, small, highly residential",54,0,1550,95,1,3,53,NA,0,"No",3,21675239,0,6675794,3655,2720742,5373971,31247887
461883,"Millennia Atlantic University",10,7966,7,3640,9,5934,NA,NA,NA,11156,11156,8824,NA,NA,NA,29012,29012,33,50,0,NA,NA,NA,0,NA,57,"No","Private for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, very small, primarily nonresidential",75,100,105,0,15,0,55,NA,NA,"No",0,NA,NA,NA,NA,NA,NA,NA
214041,"Millersville University of Pennsylvania",55,5966,30,4148,60,6316,21505,16878,27015,12226,22196,14667,14762,30538,40508,30703,40673,60,56,63,36,51,65,51,63,66,"No","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, medium, primarily residential",75,44,6750,9,11,74,57,6347,0,"No",5,42219327,1004141,18983096,5233081,12579332,60776936,165851928
486901,"Milligan University",93,23133,26,4370,54,6640,NA,NA,NA,33700,33700,5828,7100,43802,43802,45700,45700,70,63,74,50,88,71,70,NA,70,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Midsize","Four-year, small, highly residential",71,NA,829,4,5,82,57,NA,1,"No",3,35438271,0,5236410,0,1474167,10035773,28375325
147244,"Millikin University",91,23330,37,4537,67,7710,NA,NA,NA,35002,35002,11818,11818,49920,49920,49920,49920,58,51,64,38,42,63,48,59,70,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Small","Four-year, small, highly residential",78,NA,1985,14,7,67,57,NA,0,"No",0,108326705,0,12197324,0,3464661,23813954,52676721
118888,"Mills College",95,20531,52,5022,63,7258,NA,NA,NA,30257,30257,13448,13448,47784,47784,49035,49035,72,NA,72,71,74,74,78,72,69,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, small, highly residential",75,33,768,11,30,36,100,NA,0,"No",0,191278617,1587579,9787426,2916577,7401541,17325750,59793709
175980,"Millsaps College",99,29998,29,4987,61,6798,NA,NA,NA,39910,39910,13584,13730,56631,56631,56631,56631,64,59,70,44,29,68,53,64,68,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, very small, highly residential",79,NA,799,20,5,63,52,NA,0,"No",0,94110816,0,8247151,0,2736068,13260217,40430863
239309,"Milwaukee Institute of Art & Design",99,21824,41,4647,89,7013,NA,NA,NA,37360,37360,8540,9300,49130,49130,48370,48370,50,42,54,20,61,53,45,57,50,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, very small, primarily residential",80,100,756,7,16,66,69,NA,0,"No",0,3170700,0,2899818,0,3051688,6181929,16595788
239318,"Milwaukee School of Engineering",94,25315,27,4245,69,6537,NA,NA,NA,40749,40749,9408,9735,53684,53684,56191,56191,74,72,79,13,81,77,66,74,80,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, small, highly residential",87,NA,2596,2,7,68,26,NA,0,"No",0,68179004,6862442,9392046,2714390,3501748,30764257,87977380
174127,"Minneapolis College of Art and Design",96,21287,41,4476,85,5835,NA,NA,NA,39120,39120,7986,7986,52248,52248,52248,52248,64,57,68,50,82,61,48,78,76,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, very small, primarily residential",86,NA,741,7,7,65,69,NA,0,"No",0,55569669,0,3213918,442715,1773851,11347694,22034694
174358,"Minnesota State University Moorhead",60,5221,29,4037,56,6362,16589,12484,20235,8496,15906,9008,9008,21996,29406,21996,29406,49,42,53,43,43,49,39,52,56,"No","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Midsize","Four-year, medium, primarily residential",72,30,4828,4,3,79,61,5511,0,"No",10,24498000,202000,16878000,702000,14049000,41790000,99117000
173920,"Minnesota State University-Mankato",54,5624,25,4131,51,6238,14464,11057,19443,8184,16235,7312,9352,20482,28533,19028,27079,49,46,52,31,26,52,40,52,56,"No","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Small","Four-year, large, primarily nonresidential",74,20,12492,5,5,73,53,4593,1,"No",5,63282000,3533000,34954000,3485000,33336000,101504000,248791000
200253,"Minot State University",62,4240,22,4180,36,6605,11635,8923,14226,7064,7064,6610,6610,18324,18324,18324,18324,46,37,53,67,58,43,36,31,52,"No","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Remote","Four-year, small, primarily residential",70,50,2915,6,7,69,60,12218,0,"No",29,27563006,295931,8963002,5189409,2979251,18865661,54849738
