"unitid","institution_name","percent_of_undergraduate_students_awarded_federal_state_local_institutional_or_other_sources_of_grant_aid","average_amount_of_federal_state_local_institutional_or_other_sources_of_grant_aid_awarded_to_undergraduate_students","percent_of_undergraduate_students_awarded_pell_grants","average_amount_pell_grant_aid_awarded_to_undergraduate_students","percent_of_undergraduate_students_awarded_federal_student_loans","average_amount_of_federal_student_loans_awarded_to_undergraduate_students","average_net_price_students_awarded_grant_or_scholarship_aid","average_net_price_income_0_30_000_students_awarded_title_iv_federal_financial_aid","average_net_price_income_over_110_000_students_awarded_title_iv_federal_financial_aid","published_in_state_tuition_and_fees","published_out_of_state_tuition_and_fees","off_campus_not_with_family_room_and_board","on_campus_room_and_board","total_price_for_in_state_students_living_on_campus","total_price_for_out_of_state_students_living_on_campus","total_price_for_in_state_students_living_off_campus_not_with_family","total_price_for_out_of_state_students_living_off_campus_not_with_family","gradrate_ba_6yrs_total","gradrate_ba_6yrs_men","gradrate_ba_6yrs_women","gradrate_ba_6yrs_black_non_hispanic","gradrate_ba_6yrs_hispanic","gradrate_ba_6yrs_white_non_hispanic","pell_grant_recipients_overall_graduation_rate_within_150_percent_of_normal_time","subsidized_stafford_loan_recipients_not_receiving_pell_grants_overall_graduation_rate_within_150_percent_of_normal_time","did_not_receive_pell_grants_or_subsidized_stafford_loans_overall_graduation_rate_within_150_percent_of_normal_time","historically_black_college_or_university","sector_of_institution","institutional_category","degree_of_urbanization_urban_centric_locale","carnegie_classification_2018_size_and_setting","full_time_retention_rate","part_time_retention_rate","undergraduate_enrollment","percent_of_undergraduate_enrollment_that_are_black_or_african_american","percent_of_undergraduate_enrollment_that_are_hispanic/latino","percent_of_undergraduate_enrollment_that_are_white","percent_of_undergraduate_enrollment_that_are_women","endowment_assets_year_end_per_fte_enrollment","number_of_branches_and_independent_libraries","all_programs_offered_completely_via_distance_education","percent_of_undergraduate_students_enrolled_exclusively_in_distance_education_courses","endowment_total","finances_spent_research","finances_spent_student_services","finances_spent_public_service","finances_spent_academic_support","finances_spent_instruction","revenue_total"
222178,"Abilene Christian University",97,20187,26,4636,52,10550,NA,NA,NA,34850,34850,10350,10350,49722,49722,49722,49722,67,64,69,53,52,72,53,67,73,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, medium, highly residential",77,44,3538,9,17,64,60,NA,0,"No",1,431945603,1099800,31069918,2646468,12127888,45788542,156314569
108232,"Academy of Art University",50,9828,36,3877,47,6833,NA,NA,NA,22308,22308,13780,16648,44226,44226,42368,42368,38,30,45,28,31,30,27,39,47,"No","Private for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, medium, primarily nonresidential",78,40,7051,6,11,17,56,NA,0,"No",38,NA,NA,NA,NA,NA,NA,NA
126182,"Adams State University",68,8765,44,5031,42,6839,13383,10108,19637,9440,20456,11547,8444,22708,33724,25811,36827,29,28,31,15,25,33,21,25,37,"No","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Remote","Four-year, small, highly residential",54,0,1997,8,36,42,44,25,0,"No",19,62970,0,6292616,1012690,2341126,18941116,58118569
188429,"Adelphi University",92,19075,32,4555,60,6966,NA,NA,NA,38740,38740,14380,15670,58430,58430,58430,58430,70,62,74,58,65,73,65,70,74,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, medium, primarily residential",80,70,5391,9,17,50,68,NA,0,"No",1,188578577,668720,36148814,7892260,23862745,105179765,233606424
168528,"Adrian College",97,27250,36,4290,77,4325,NA,NA,NA,37087,37087,11318,11318,53481,53481,53481,53481,45,36,60,19,35,55,38,53,53,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Distant","Four-year, small, highly residential",71,NA,1817,7,5,67,48,NA,0,"No",0,36705997,0,9662302,0,1377605,15620689,50581448
133872,"AdventHealth University",59,6042,40,2974,57,7777,NA,NA,NA,12240,12240,11270,6126,25304,25304,30448,30448,34,58,28,33,36,18,34,21,20,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, small, primarily nonresidential",66,33,1341,19,33,34,79,NA,0,"No",17,8250000,27136,689253,0,3517131,16260365,34200066
138600,"Agnes Scott College",98,31742,40,4893,57,6652,NA,NA,NA,41160,41160,2500,12330,55625,55625,45795,45795,69,NA,69,67,67,69,62,77,87,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, very small, highly residential",79,NA,996,31,13,32,99,NA,0,"No",0,229425820,0,9313868,0,7650069,19516827,49384260
134811,"AI Miami International University of Art and Design",82,6795,43,4364,44,8311,NA,NA,NA,17604,17604,6652,NA,NA,NA,31655,31655,34,30,37,0,40,35,24,49,50,"No","Private for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, small, primarily nonresidential",71,79,1342,12,36,18,64,NA,1,"No",0,NA,NA,NA,NA,NA,NA,NA
100654,"Alabama A & M University",88,10190,70,5042,74,6846,14604,14310,19419,9744,18354,9128,9128,23462,32072,23462,32072,27,23,31,27,25,25,25,33,38,"Yes","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, medium, highly residential",61,100,5143,91,1,2,59,NA,0,"No",1,NA,12837888,20578573,13105484,8533583,32957353,167893322
100724,"Alabama State University",95,8291,76,4764,82,10129,13476,13531,13573,11068,19396,7320,6050,22110,30438,24216,32544,30,22,36,30,32,40,28,34,35,"Yes","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, medium, highly residential",59,13,3903,94,1,2,63,22281,0,"No",9,99638681,3527160,16109713,5232807,12487990,39655073,143365283
102580,"Alaska Bible College",68,3307,43,2630,21,3203,NA,NA,NA,9600,9600,8975,5700,19980,19980,25022,25022,0,0,NA,NA,NA,0,0,NA,100,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Distant","Four-year, very small, highly residential",100,NA,45,2,2,89,40,NA,NA,"No",0,46833,0,16927,0,42883,325392,1008581
102669,"Alaska Pacific University",82,12647,40,4300,48,7044,NA,NA,NA,20760,20760,16200,8230,34600,34600,42570,42570,56,50,58,NA,67,60,64,33,60,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, very small, primarily residential",81,67,301,2,7,45,67,NA,NA,"No",26,99505839,1816599,3658560,246167,481016,5089743,12338673
188526,"Albany College of Pharmacy and Health Sciences",99,14066,27,4600,75,7341,NA,NA,NA,35105,35105,11220,10920,49585,49585,51585,51585,71,63,75,50,80,68,57,67,73,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Small","Four-year, small, highly residential",81,0,859,5,6,57,60,NA,1,"No",0,51444313,4503031,7347424,0,3724958,19344220,52886872
138716,"Albany State University",71,6236,62,4844,65,6397,12500,11860,17505,5735,16196,10800,8878,19133,29594,21975,32436,35,24,42,37,60,13,17,32,23,"Yes","Public, 4-year or above","Degree-granting, not primarily baccalaureate or above","City: Small","Four-year, medium, primarily residential",62,26,6001,72,5,16,72,600,0,"No",18,2342135,1238666,6033696,3372374,9083885,31120896,104168597
128498,"Albertus Magnus College",68,15834,50,4785,72,9805,NA,NA,NA,32060,32060,13618,13500,53124,53124,53894,53894,66,56,71,48,35,84,60,97,59,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, small, primarily residential",68,NA,1116,33,20,34,67,NA,0,"No",15,26275879,0,7757912,0,3601188,10398982,26067414
168546,"Albion College",99,37465,42,4909,67,6853,NA,NA,NA,45590,45590,12380,12380,59470,59470,59470,59470,64,64,65,53,38,65,57,60,72,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Fringe","Four-year, small, highly residential",75,NA,1533,15,10,62,54,NA,0,"No",0,174309623,710225,15098405,189303,3740826,20625134,64065807
132842,"Albizu University-Miami",84,14533,59,5293,69,8340,NA,NA,NA,12444,12444,25536,NA,NA,NA,51036,51036,100,100,NA,NA,100,100,100,NA,NA,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, very small, primarily nonresidential",87,50,137,1,83,2,80,NA,1,"No",0,NA,109609,1026252,848754,2368536,3637605,14249816
210571,"Albright College",93,32416,52,4314,87,6816,NA,NA,NA,45306,45306,12070,12070,60636,60636,61036,61036,51,47,55,31,44,66,46,58,52,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Small","Four-year, small, highly residential",68,NA,1912,23,15,50,60,NA,0,"No",2,69325252,0,10059171,255077,2272313,19567483,50390292
175342,"Alcorn State University",84,9430,73,5494,73,7341,13907,13687,20500,7084,7084,10372,10372,24032,24032,25856,25856,40,31,47,39,57,0,48,26,25,"Yes","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","Rural: Remote","Four-year, medium, highly residential",73,20,3173,91,1,3,64,5677,1,"No",6,18728677,6952563,8101924,6337702,6626071,17301870,90786523
237118,"Alderson Broaddus University",97,19932,52,4715,82,9533,NA,NA,NA,27910,27910,11355,8960,40952,40952,43997,43997,34,26,50,17,47,40,28,38,48,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Distant","Four-year, very small, highly residential",51,NA,836,23,5,64,46,NA,0,"No",0,18150386,0,8462026,0,1275290,6626218,38614748
188641,"Alfred University",91,21832,42,4587,72,6244,NA,NA,NA,29188,29188,12516,12516,45104,45104,45104,45104,60,52,68,44,57,65,57,59,63,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Remote","Four-year, small, highly residential",73,NA,1671,11,9,60,50,NA,1,"No",0,129318223,3602942,11676428,104657,8819521,26965130,80520682
156189,"Alice Lloyd College",97,10708,54,4565,54,5087,NA,NA,NA,11550,11550,3650,6240,24290,24290,21800,21800,100,100,100,NA,100,100,77,NA,54,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Rural: Remote","Four-year, very small, highly residential",48,NA,644,3,2,93,54,NA,0,"No",0,43329427,0,2287780,0,1426901,2988505,24817599
210669,"Allegheny College",99,35451,34,4694,66,6693,NA,NA,NA,47540,47540,9640,12140,63180,63180,60680,60680,74,65,81,55,67,76,70,72,78,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Distant","Four-year, small, highly residential",82,33,1771,9,9,67,56,NA,0,"No",0,220835715,1070643,18566632,0,6611232,23584030,88415852
200873,"Allegheny Wesleyan College",100,4373,58,5566,64,2772,NA,NA,NA,7000,7000,2880,3600,14412,14412,13340,13340,45,67,38,NA,NA,45,78,0,0,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Rural: Fringe","Four-year, very small, highly residential",67,NA,72,0,0,100,63,NA,NA,"No",0,258308,0,81093,184193,147015,279825,1924854
217624,"Allen University",94,9803,85,5131,89,7502,NA,NA,NA,12940,12940,5000,7230,23170,23170,20940,20940,31,19,38,32,0,NA,28,57,56,"Yes","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, very small, highly residential",37,83,698,96,0,1,45,NA,0,"No",0,739913,0,3680669,440547,1495276,2934985,17757903
110468,"Alliant International University-San Diego",7,5908,2,5110,11,10915,NA,NA,NA,14600,14600,13776,NA,NA,NA,35748,35748,25,50,0,NA,25,NA,33,NA,0,"No","Private for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, small, primarily nonresidential",67,NA,988,4,30,18,54,NA,6,"No",27,NA,NA,NA,NA,NA,NA,NA
168591,"Alma College",98,29436,31,4645,73,6867,NA,NA,NA,40258,40258,10998,10998,54270,54270,54270,54270,64,57,71,21,47,66,57,64,71,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Distant","Four-year, small, highly residential",79,NA,1433,3,5,78,59,NA,0,"No",0,124001841,0,14876971,0,5919678,16571336,50509883
210775,"Alvernia University",86,16549,39,5184,82,10218,NA,NA,NA,34900,34900,5100,12340,51240,51240,45100,45100,57,55,59,26,47,63,43,66,62,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Small","Four-year, small, primarily residential",74,NA,2196,12,11,68,70,NA,0,"No",11,26943683,0,8467908,0,5770761,17945660,63363633
238193,"Alverno College",94,15424,58,4314,79,9344,NA,NA,NA,28302,28302,7900,8546,40693,40693,40947,40947,39,NA,39,21,44,48,38,51,41,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, small, primarily nonresidential",68,0,1219,13,30,46,99,NA,0,"No",1,29962845,216216,6738227,0,2629981,13975325,38015043
490081,"America Evangelical University",77,5798,54,6007,0,NA,NA,NA,NA,5500,5500,13779,NA,NA,NA,24577,24577,33,33,33,NA,NA,NA,NA,NA,33,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, very small, primarily nonresidential",NA,100,36,0,0,0,44,NA,NA,"No",0,NA,0,30701,0,108746,347416,911836
142887,"American Academy of Art College",70,8621,60,3978,79,7750,NA,NA,NA,34270,34270,6354,NA,NA,NA,45024,45024,60,59,61,50,52,66,60,58,67,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, very small, primarily nonresidential",78,25,242,11,36,44,64,NA,NA,"No",0,NA,0,381714,0,195340,1360571,7984555
219505,"American Baptist College",68,5752,68,4318,75,4369,NA,NA,NA,10074,10074,9624,8640,24644,24644,25628,25628,20,0,100,20,NA,NA,0,NA,100,"Yes","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, very small, primarily residential",67,0,123,98,0,2,29,NA,NA,"No",0,1729580,0,174676,0,748681,175391,4104972
445027,"American InterContinental University",88,5311,81,5149,80,7844,NA,NA,NA,11937,11937,5775,NA,NA,NA,18853,18853,12,11,13,11,21,12,18,21,8,"No","Private for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Small","Four-year, medium, primarily nonresidential",41,7,7940,32,1,27,71,NA,1,"Yes",100,NA,NA,NA,NA,NA,NA,NA
438586,"American InterContinental University-Atlanta",91,5290,83,4926,83,7890,NA,NA,NA,12070,12070,5904,NA,NA,NA,21062,21062,20,11,31,26,100,20,22,17,11,"No","Private for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, small, primarily nonresidential",39,12,1603,59,1,11,69,NA,1,"No",85,NA,NA,NA,NA,NA,NA,NA
445133,"American InterContinental University-Houston",81,4620,70,4490,72,8390,NA,NA,NA,14640,14640,6531,NA,NA,NA,24779,24779,33,29,43,42,29,0,35,0,43,"No","Private for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, very small, primarily nonresidential",63,50,257,29,12,6,61,NA,1,"No",15,NA,NA,NA,NA,NA,NA,NA
164447,"American International College",95,25243,50,4598,81,7383,NA,NA,NA,35680,35680,4730,14100,52680,52680,45070,45070,47,40,55,38,36,57,40,51,57,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, small, highly residential",64,25,1336,22,20,39,64,NA,0,"No",2,19500413,0,14564299,0,1057010,18394925,54908977
116846,"American Jewish University",91,25834,53,4524,43,9560,NA,NA,NA,31946,31946,13779,16956,54615,54615,52445,52445,40,25,50,NA,100,33,40,NA,80,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, very small, highly residential",70,NA,68,0,0,38,63,NA,0,"No",0,22105188,0,276271,2131230,3941258,3241288,21653803
449339,"American Public University System",89,1639,27,3679,20,8575,NA,NA,NA,6880,6880,7312,NA,NA,NA,16488,16488,35,40,28,32,40,37,35,43,58,"No","Private for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Fringe","Four-year, large, primarily nonresidential",98,93,37746,16,13,55,36,NA,0,"Yes",100,NA,NA,NA,NA,NA,NA,NA
460738,"American Sentinel College of Nursing and Health Sciences",9,2827,9,2827,18,7140,NA,NA,NA,10140,10140,10264,NA,NA,NA,22812,22812,0,0,0,NA,NA,0,0,NA,0,"No","Private for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, small, primarily nonresidential",NA,NA,1444,10,1,74,89,NA,0,"Yes",100,NA,NA,NA,NA,NA,NA,NA
131159,"American University",53,27386,16,4466,41,6221,NA,NA,NA,48459,48459,16100,16100,66268,66268,66268,66268,80,77,82,82,74,81,77,79,81,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, large, highly residential",88,0,8287,7,12,53,62,NA,1,"No",0,684065000,66475000,55979000,30006000,73298000,216894000,670631000
433004,"American University of Health Sciences",91,3741,52,4813,90,6110,NA,NA,NA,22570,22570,12248,NA,NA,NA,40094,40094,33,0,50,0,NA,NA,0,NA,50,"No","Private for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, very small, primarily nonresidential",50,NA,293,12,19,5,80,NA,1,"No",0,NA,NA,NA,NA,NA,NA,NA
241100,"American University of Puerto Rico",91,6684,86,5486,12,3742,NA,NA,NA,6221,6221,5700,NA,NA,NA,19971,19971,35,39,29,NA,35,NA,27,NA,0,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, very small, primarily nonresidential",67,100,398,0,100,0,47,NA,0,"No",0,NA,91091,1822675,1867908,1176129,3215073,11355947
241128,"American University of Puerto Rico",91,6775,88,5899,18,3836,NA,NA,NA,6221,6221,5700,NA,NA,NA,19971,19971,42,36,47,NA,42,NA,35,NA,0,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, very small, primarily nonresidential",74,NA,547,0,100,0,55,NA,0,"No",0,NA,NA,NA,NA,NA,NA,NA
164465,"Amherst College",60,53192,24,4777,16,5241,NA,NA,NA,56426,56426,14740,14740,73966,73966,73966,73966,93,93,93,94,81,94,91,92,94,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, small, highly residential",96,NA,1855,11,13,44,50,NA,2,"No",0,2377537246,5852929,36435062,0,37248505,63154938,340264844
100690,"Amridge University",74,5490,64,4188,70,8672,NA,NA,NA,6900,6900,9600,NA,NA,NA,19600,19600,40,0,80,0,NA,67,38,50,NA,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, very small, primarily nonresidential",NA,NA,351,72,2,24,68,NA,0,"Yes",100,174804,0,1018888,0,621973,2643349,9710803
150066,"Anderson University",100,18892,36,4604,71,6882,NA,NA,NA,30450,30450,6000,10840,45290,45290,40450,40450,60,49,68,34,47,63,46,63,71,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Small","Four-year, small, highly residential",64,100,1445,6,4,81,60,NA,0,"No",1,35280000,0,8737000,75000,3856000,15606000,40163000
217633,"Anderson University",87,18686,25,4396,57,6827,NA,NA,NA,28000,28000,9830,9830,43110,43110,44240,44240,59,51,64,24,41,61,55,57,63,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Small","Four-year, medium, highly residential",79,50,2881,5,3,80,69,NA,0,"No",8,46133121,0,11450451,105306,6286559,22196761,62793345
168740,"Andrews University",85,18524,24,5030,41,7415,NA,NA,NA,29288,29288,10768,9078,40566,40566,45556,45556,58,51,64,55,60,57,50,56,64,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Fringe","Four-year, small, highly residential",82,63,1702,18,14,31,56,NA,2,"No",12,54998281,1920506,6235689,1101620,13428241,36698008,95727134
222831,"Angelo State University",62,6519,32,4806,35,6253,12169,9799,19780,7436,17396,9130,9130,21046,31006,21046,31006,34,31,37,24,29,40,29,28,43,"No","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, medium, primarily residential",67,33,8672,6,36,50,57,23570,1,"No",3,189276736,976219,9566570,1760081,8655695,52722357,155152146
164492,"Anna Maria College",94,22000,40,4558,76,6678,NA,NA,NA,37860,37860,6012,14230,54090,54090,46872,46872,46,41,50,26,33,53,43,51,37,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Rural: Fringe","Four-year, small, primarily residential",63,NA,1134,14,12,64,52,NA,0,"No",17,5152861,0,10108110,0,1182925,7272879,26654269
483018,"Antioch College",100,30228,66,5390,74,5435,NA,NA,NA,35568,35568,9600,11460,52628,52628,50768,50768,66,55,69,67,50,70,NA,NA,66,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Fringe","Four-year, very small, highly residential",47,NA,102,17,16,54,62,NA,0,"No",0,42443583,0,2144536,0,1548406,2261940,14328178
245883,"Antioch University-Seattle",41,10995,29,3624,39,11413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, very small, primarily nonresidential",NA,NA,82,10,9,60,78,NA,0,"No",0,NA,NA,NA,NA,NA,NA,NA
237136,"Appalachian Bible College",61,11594,41,4461,22,5334,NA,NA,NA,14720,14720,5566,7960,26156,26156,24158,24158,40,41,40,0,NA,40,42,38,68,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Rural: Fringe","Four-year, very small, highly residential",85,NA,261,2,2,77,39,NA,NA,"No",3,1657650,0,854612,6027,393294,854164,5689231
197869,"Appalachian State University",47,8114,29,4665,47,6103,10525,7169,18771,7364,22171,9131,8548,19194,34001,20427,35234,72,68,75,66,62,73,65,72,75,"No","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Distant","Four-year, large, primarily residential",87,75,17381,3,6,83,56,7020,1,"No",3,122373964,6096166,15321608,9318622,47484779,147123980,465409496
168786,"Aquinas College",88,20794,27,4572,51,6183,NA,NA,NA,32574,32574,6046,9332,44588,44588,41992,41992,60,58,61,42,55,62,53,62,66,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, small, highly residential",75,100,1578,3,7,65,59,NA,0,"No",0,43667525,0,10021852,629454,2010250,10843117,35425714
211088,"Arcadia University",89,28268,34,4594,70,6886,NA,NA,NA,43580,43580,19292,13800,59980,59980,65472,65472,71,69,71,52,72,72,62,74,76,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Suburb: Large","Four-year, medium, highly residential",78,75,2160,10,9,62,68,NA,0,"No",0,71792000,892000,14677000,154000,7197000,31881000,124128000
105899,"Arizona Christian University",79,15488,31,5772,57,10051,NA,NA,NA,26796,26796,10000,10674,42670,42670,42996,42996,45,38,52,0,75,57,57,NA,39,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, very small, primarily residential",59,NA,776,12,20,45,44,NA,0,"No",5,1030924,0,4826772,0,818110,4781166,36569637
104151,"Arizona State University Campus Immersion",79,11598,29,4530,34,6207,14081,7044,18583,10822,28336,9684,12648,28048,45562,26066,43580,69,65,73,54,64,70,62,62,75,"No","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, large, primarily residential",88,48,42844,4,21,50,44,14330,8,"No",0,720565000,361046000,169169000,40078000,362509000,1076790000,2805859000
483124,"Arizona State University Digital Immersion",63,5907,42,3266,52,7746,14568,12037,22534,10317,18629,9684,12626,27521,35833,25561,33873,48,48,47,31,42,44,35,48,60,"No","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, large, primarily nonresidential",73,43,29780,7,20,62,60,1472,NA,"No",95,NA,NA,NA,NA,NA,NA,NA
106458,"Arkansas State University",75,9534,40,5061,50,7150,13281,10948,16640,8607,15297,9045,9025,23101,29791,24192,30882,47,45,48,32,46,50,38,46,60,"No","Public, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Small","Four-year, medium, primarily residential",76,32,9350,12,3,76,60,6332,0,"No",10,76077030,10741436,12420139,21556479,15977480,65784700,215123593
222877,"Arlington Baptist University",80,5341,57,4557,81,7167,NA,NA,NA,13690,13690,8802,6500,24493,24493,27452,27452,19,15,31,15,17,22,17,15,25,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, very small, highly residential",33,NA,161,30,16,51,40,NA,NA,"No",22,NA,0,799937,0,347223,965524,2899860
201061,"Art Academy of Cincinnati",100,16247,56,4949,85,7095,NA,NA,NA,33450,33450,7200,9500,47050,47050,45250,45250,63,54,68,100,NA,64,65,57,71,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, very small, primarily nonresidential",47,NA,192,11,6,72,71,NA,NA,"No",0,2280785,0,1105277,0,1180859,1306551,5009876
109651,"Art Center College of Design",68,15919,28,4807,44,8285,NA,NA,NA,43416,43416,13530,NA,NA,NA,67438,67438,72,61,80,NA,77,70,67,94,65,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, small, primarily nonresidential",83,NA,2008,1,11,14,55,NA,1,"No",0,97518000,0,8626000,0,20092000,59206000,112042000
156213,"Asbury University",87,14767,32,4118,61,5799,NA,NA,NA,30198,30198,5470,7160,41568,41568,40398,40398,62,54,67,100,100,60,62,51,71,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Fringe","Four-year, small, highly residential",81,0,1697,4,7,77,59,NA,0,"No",27,49116604,0,6533368,199340,2370197,15773111,42655767
458113,"Ascent College",87,4675,61,4620,71,9962,NA,NA,NA,8420,8420,8975,NA,NA,NA,21898,21898,25,100,0,NA,0,50,83,NA,NA,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, very small, primarily nonresidential",NA,0,31,52,6,35,65,NA,NA,"No",35,25114,0,23232,0,53017,52846,520933
154022,"Ashford University",86,6217,51,4129,57,7632,NA,NA,NA,12160,12160,7470,NA,NA,NA,25389,25389,7,5,8,5,6,9,8,10,4,"No","Private for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, large, primarily nonresidential",23,NA,28701,33,13,42,71,NA,0,"Yes",100,NA,NA,NA,NA,NA,NA,NA
201104,"Ashland University",70,12147,27,4493,61,7188,NA,NA,NA,21342,21342,5500,9942,34792,34792,31482,31482,61,51,67,42,41,62,56,61,69,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","Town: Fringe","Four-year, medium, highly residential",78,0,5020,17,3,69,47,NA,0,"No",26,45554224,0,19147976,140022,10137143,37282758,106487065
454829,"Aspen University",0,1276,0,1276,1,6230,NA,NA,NA,3920,3920,10264,NA,NA,NA,16692,16692,20,0,67,0,0,NA,0,NA,33,"No","Private for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Large","Four-year, small, primarily nonresidential",NA,100,3389,10,6,16,86,NA,0,"No",98,NA,NA,NA,NA,NA,NA,NA
164562,"Assumption University",93,23701,18,4644,68,6589,NA,NA,NA,40958,40958,12685,12685,56443,56443,56443,56443,75,68,81,58,88,76,69,78,77,"No","Private not-for-profit, 4-year or above","Degree-granting, primarily baccalaureate or above","City: Midsize","Four-year, small, highly residential",83,NA,2036,5,8,75,57,NA,1,"No",4,108439232,0,13829133,0,6650161,25790338,69723568
